STATION,DATE,PRCP,, Value
SF005116720,1/1/1970,0,,0.235
SF005116720,1/2/1970,0,,0.24
SF005116720,1/3/1970,0,,0.236
SF005116720,1/4/1970,0,,0.244
SF005116720,1/5/1970,0,,0.249
SF005116720,1/6/1970,0,,0.243
SF005116720,1/7/1970,0.16,,0.241
SF005116720,1/8/1970,0.22,,0.235
SF005116720,1/9/1970,0,,0.232
SF005116720,1/10/1970,0,,0.228
SF005116720,1/11/1970,0.29,,0.235
SF005116720,1/12/1970,0,,0.244
SF005116720,1/13/1970,0,,0.253
SF005116720,1/14/1970,0,,0.261
SF005116720,1/15/1970,2.19,,0.27
SF005116720,1/16/1970,0,,0.277
SF005116720,1/17/1970,0,,0.278
SF005116720,1/18/1970,0,,0.28
SF005116720,1/19/1970,0,,0.282
SF005116720,1/20/1970,0.56,,0.272
SF005116720,1/21/1970,0.24,,0.281
SF005116720,1/22/1970,0,,0.295
SF005116720,1/23/1970,0.1,,0.298
SF005116720,1/24/1970,0,,0.306
SF005116720,1/25/1970,0.32,,0.314
SF005116720,1/26/1970,0.14,,0.31
SF005116720,1/27/1970,0,,0.307
SF005116720,1/28/1970,0,,0.365
SF005116720,1/29/1970,0,,0.444
SF005116720,1/30/1970,0.39,,0.438
SF005116720,1/31/1970,0,,0.447
SF005116720,2/1/1970,1.35,,0.455
SF005116720,2/2/1970,0.13,,0.458
SF005116720,2/3/1970,0,,0.47
SF005116720,2/4/1970,0.1,,0.491
SF005116720,2/5/1970,0,,0.515
SF005116720,2/6/1970,0,,0.563
SF005116720,2/7/1970,0,,0.63
SF005116720,2/8/1970,0.19,,0.595
SF005116720,2/9/1970,0,,0.579
SF005116720,2/10/1970,0,,0.644
SF005116720,2/11/1970,0,,0.726
SF005116720,2/12/1970,0.22,,0.728
SF005116720,2/13/1970,0,,0.675
SF005116720,2/14/1970,0,,0.635
SF005116720,2/15/1970,0,,0.622
SF005116720,2/16/1970,0.39,,0.7
SF005116720,2/17/1970,0,,1.128
SF005116720,2/18/1970,0,,1.244
SF005116720,2/19/1970,0,,1.138
SF005116720,2/20/1970,0,,0.969
SF005116720,2/21/1970,0,,0.975
SF005116720,2/22/1970,0,,0.868
SF005116720,2/23/1970,0,,4.386
SF005116720,2/24/1970,0,,13.88
SF005116720,2/25/1970,0,,6.479
SF005116720,2/26/1970,0,,4.512
SF005116720,2/27/1970,0,,5.642
SF005116720,2/28/1970,0,,6.28
SF005116720,3/1/1970,0,,7.272
SF005116720,3/2/1970,0,,7.243
SF005116720,3/3/1970,0,,5.607
SF005116720,3/4/1970,0.1,,10.599
SF005116720,3/5/1970,0,,25.069
SF005116720,3/6/1970,0.04,,13.025
SF005116720,3/7/1970,0,,13.728
SF005116720,3/8/1970,0,,10.66
SF005116720,3/9/1970,0.73,,6.949
SF005116720,3/10/1970,0,,5.344
SF005116720,3/11/1970,0.04,,5.087
SF005116720,3/12/1970,0.41,,6.357
SF005116720,3/13/1970,0,,4.955
SF005116720,3/14/1970,0,,8.867
SF005116720,3/15/1970,0,,10.522
SF005116720,3/16/1970,0,,6.774
SF005116720,3/17/1970,0,,5.031
SF005116720,3/18/1970,0,,4.366
SF005116720,3/19/1970,0,,4.413
SF005116720,3/20/1970,0.21,,4.056
SF005116720,3/21/1970,0,,3.628
SF005116720,3/22/1970,0.16,,3.369
SF005116720,3/23/1970,0,,3.244
SF005116720,3/24/1970,0,,6.009
SF005116720,3/25/1970,0.49,,14.073
SF005116720,3/26/1970,0,,12.042
SF005116720,3/27/1970,0.02,,8.674
SF005116720,3/28/1970,0,,53.433
SF005116720,3/29/1970,0,,215.325
SF005116720,3/30/1970,0,,178.502
SF005116720,3/31/1970,0,,89.859
SF005116720,4/1/1970,0,,40.643
SF005116720,4/2/1970,0,,23.325
SF005116720,4/3/1970,0,,17.293
SF005116720,4/4/1970,0,,14.025
SF005116720,4/5/1970,0,,11.652
SF005116720,4/6/1970,0,,10.195
SF005116720,4/7/1970,0,,21.763
SF005116720,4/8/1970,0,,58.632
SF005116720,4/9/1970,0,,30.524
SF005116720,4/10/1970,0,,19.026
SF005116720,4/11/1970,0,,18.963
SF005116720,4/12/1970,0,,49.615
SF005116720,4/13/1970,0,,108.226
SF005116720,4/14/1970,0,,72.331
SF005116720,4/15/1970,1.58,,44.238
SF005116720,4/16/1970,0.57,,30.317
SF005116720,4/17/1970,0,,21.27
SF005116720,4/18/1970,0,,15.428
SF005116720,4/19/1970,0.3,,13.77
SF005116720,4/20/1970,0,,18.585
SF005116720,4/21/1970,0,,33.892
SF005116720,4/22/1970,0,,22.1
SF005116720,4/23/1970,0.2,,16.223
SF005116720,4/24/1970,0,,13.53
SF005116720,4/25/1970,0,,14.567
SF005116720,4/26/1970,0,,18.892
SF005116720,4/27/1970,0,,15.246
SF005116720,4/28/1970,0,,13.426
SF005116720,4/29/1970,0,,12.118
SF005116720,4/30/1970,0,,9.889
SF005116720,5/1/1970,0,,9.831
SF005116720,5/2/1970,0,,11.347
SF005116720,5/3/1970,0,,12.668
SF005116720,5/4/1970,0,,16.225
SF005116720,5/5/1970,0,,13.42
SF005116720,5/6/1970,0,,12.078
SF005116720,5/7/1970,0,,11.127
SF005116720,5/8/1970,0,,10.085
SF005116720,5/9/1970,0,,9.106
SF005116720,5/10/1970,0,,7.68
SF005116720,5/11/1970,0,,7.274
SF005116720,5/12/1970,0,,6.885
SF005116720,5/13/1970,1.57,,6.555
SF005116720,5/14/1970,0.01,,6.341
SF005116720,5/15/1970,0,,13.885
SF005116720,5/16/1970,0,,36.877
SF005116720,5/17/1970,0,,35.012
SF005116720,5/18/1970,0,,49.906
SF005116720,5/19/1970,0,,26.956
SF005116720,5/20/1970,0,,20.263
SF005116720,5/21/1970,0,,16.138
SF005116720,5/22/1970,0,,13.256
SF005116720,5/23/1970,0,,11.629
SF005116720,5/24/1970,0,,11.266
SF005116720,5/25/1970,0,,11.479
SF005116720,5/26/1970,0,,9.817
SF005116720,5/27/1970,0,,9.03
SF005116720,5/28/1970,0,,8.368
SF005116720,5/29/1970,0,,7.943
SF005116720,5/30/1970,0,,7.298
SF005116720,5/31/1970,0,,6.691
SF005116720,6/1/1970,0,,5.724
SF005116720,6/2/1970,0,,5.742
SF005116720,6/3/1970,0,,7.168
SF005116720,6/4/1970,0,,6.915
SF005116720,6/5/1970,0,,6.239
SF005116720,6/6/1970,0,,5.75
