STATION,DATE,PRCP,, Value
SF000477160,1/1/1970,0,,0.098
SF000477160,1/2/1970,0,,0.082
SF000477160,1/3/1970,0,,0.085
SF000477160,1/4/1970,0,,0.104
SF000477160,1/5/1970,0,,0.12
SF000477160,1/6/1970,0,,0.117
SF000477160,1/7/1970,0,,0.119
SF000477160,1/8/1970,0,,0.117
SF000477160,1/9/1970,0,,0.114
SF000477160,1/10/1970,0,,0.113
SF000477160,1/11/1970,0,,0.11
SF000477160,1/12/1970,0,,0.112
SF000477160,1/13/1970,0,,0.135
SF000477160,1/14/1970,0,,0.124
SF000477160,1/15/1970,0,,0.116
SF000477160,1/16/1970,0,,0.11
SF000477160,1/17/1970,0,,0.106
SF000477160,1/18/1970,0,,0.103
SF000477160,1/19/1970,0,,0.101
SF000477160,1/20/1970,0,,0.099
SF000477160,1/21/1970,0,,0.1
SF000477160,1/22/1970,0,,0.109
SF000477160,1/23/1970,0,,0.108
SF000477160,1/24/1970,0,,0.107
SF000477160,1/25/1970,0,,0.107
SF000477160,1/26/1970,0,,0.106
SF000477160,1/27/1970,0,,0.106
SF000477160,1/28/1970,0,,0.104
SF000477160,1/29/1970,0,,0.097
SF000477160,1/30/1970,0,,0.087
SF000477160,1/31/1970,0.47,,0.087
SF000477160,2/1/1970,0.17,,0.086
SF000477160,2/2/1970,0,,0.081
SF000477160,2/3/1970,0,,0.078
SF000477160,2/4/1970,0,,0.091
SF000477160,2/5/1970,0.02,,0.133
SF000477160,2/6/1970,0.75,,0.142
SF000477160,2/7/1970,0,,0.126
SF000477160,2/8/1970,0,,0.123
SF000477160,2/9/1970,0,,0.118
SF000477160,2/10/1970,0,,0.117
SF000477160,2/11/1970,0,,0.119
SF000477160,2/12/1970,0,,0.118
SF000477160,2/13/1970,0,,0.122
SF000477160,2/14/1970,0,,0.124
SF000477160,2/15/1970,1.77,,0.124
SF000477160,2/16/1970,0,,0.119
SF000477160,2/17/1970,0,,0.107
SF000477160,2/18/1970,0,,0.114
SF000477160,2/19/1970,0,,0.121
SF000477160,2/20/1970,0,,0.115
SF000477160,2/21/1970,0,,0.114
SF000477160,2/22/1970,0.24,,0.11
SF000477160,2/23/1970,0.28,,0.104
SF000477160,2/24/1970,0,,0.105
SF000477160,2/25/1970,0,,0.113
SF000477160,2/26/1970,0,,0.114
SF000477160,2/27/1970,0,,0.102
SF000477160,2/28/1970,0,,0.099
SF000477160,3/1/1970,0,,0.1
SF000477160,3/2/1970,0,,0.102
SF000477160,3/3/1970,0,,0.102
SF000477160,3/4/1970,0,,0.103
SF000477160,3/5/1970,0,,0.103
SF000477160,3/6/1970,0,,0.103
SF000477160,3/7/1970,0,,0.102
SF000477160,3/8/1970,0,,0.103
SF000477160,3/9/1970,0,,0.103
SF000477160,3/10/1970,0,,0.103
SF000477160,3/11/1970,0,,0.103
SF000477160,3/12/1970,0,,0.103
SF000477160,3/13/1970,0,,0.103
SF000477160,3/14/1970,0,,0.103
SF000477160,3/15/1970,0,,0.101
SF000477160,3/16/1970,0,,0.1
SF000477160,3/17/1970,0,,0.1
SF000477160,3/18/1970,0,,0.106
SF000477160,3/19/1970,0,,0.109
SF000477160,3/20/1970,0,,0.105
SF000477160,3/21/1970,0,,0.105
SF000477160,3/22/1970,0,,0.116
SF000477160,3/23/1970,0,,0.112
SF000477160,3/24/1970,0,,0.109
SF000477160,3/25/1970,0,,0.109
SF000477160,3/26/1970,0,,0.117
SF000477160,3/27/1970,0,,0.121
SF000477160,3/28/1970,0,,0.133
SF000477160,3/29/1970,0,,0.134
SF000477160,3/30/1970,0,,0.127
SF000477160,3/31/1970,0,,0.125
SF000477160,4/1/1970,0,,0.123
SF000477160,4/2/1970,0,,0.12
SF000477160,4/3/1970,0,,0.118
SF000477160,4/4/1970,0,,0.121
SF000477160,4/5/1970,0,,0.118
SF000477160,4/6/1970,0,,0.117
