STATION,DATE,PRCP,, Value
SF000341210,1/1/1970,0,,0.122
SF000341210,1/2/1970,0,,0.128
SF000341210,1/3/1970,0,,0.134
SF000341210,1/4/1970,0,,0.14
SF000341210,1/5/1970,0,,0.17
SF000341210,1/6/1970,0,,0.205
SF000341210,1/7/1970,0,,0.305
SF000341210,1/8/1970,0,,0.366
SF000341210,1/9/1970,0,,0.468
SF000341210,1/10/1970,0,,4.225
SF000341210,1/11/1970,0,,17.289
SF000341210,1/12/1970,0,,6.432
SF000341210,1/13/1970,0,,3.229
SF000341210,1/14/1970,0,,1.987
SF000341210,1/15/1970,0,,29.809
SF000341210,1/16/1970,0,,17.111
SF000341210,1/17/1970,0,,11.559
SF000341210,1/18/1970,0,,5.221
SF000341210,1/19/1970,0,,3.117
SF000341210,1/20/1970,0,,2.111
SF000341210,1/21/1970,0,,1.491
SF000341210,1/22/1970,0,,1.157
SF000341210,1/23/1970,0,,0.873
SF000341210,1/24/1970,0,,0.747
SF000341210,1/25/1970,0,,1.154
SF000341210,1/26/1970,0,,1.53
SF000341210,1/27/1970,0,,1.77
SF000341210,1/28/1970,0,,1.823
SF000341210,1/29/1970,0,,1.67
SF000341210,1/30/1970,0,,1.554
SF000341210,1/31/1970,0,,1.365
SF000341210,2/1/1970,0.24,,1.118
SF000341210,2/2/1970,0,,0.954
SF000341210,2/3/1970,0,,0.844
SF000341210,2/4/1970,0,,0.685
SF000341210,2/5/1970,0,,0.569
SF000341210,2/6/1970,0.43,,0.537
SF000341210,2/7/1970,0,,0.516
SF000341210,2/8/1970,0,,0.496
SF000341210,2/9/1970,0,,0.478
SF000341210,2/10/1970,0,,0.468
SF000341210,2/11/1970,0,,0.46
SF000341210,2/12/1970,0,,0.451
SF000341210,2/13/1970,0,,0.442
SF000341210,2/14/1970,0,,0.434
SF000341210,2/15/1970,0,,0.425
SF000341210,2/16/1970,0,,0.414
SF000341210,2/17/1970,0,,0.394
SF000341210,2/18/1970,0,,0.372
SF000341210,2/19/1970,0,,0.351
SF000341210,2/20/1970,0,,0.331
SF000341210,2/21/1970,0.04,,0.311
SF000341210,2/22/1970,0.28,,0.291
SF000341210,2/23/1970,0,,0.274
SF000341210,2/24/1970,0.35,,0.266
SF000341210,2/25/1970,0.61,,0.258
SF000341210,2/26/1970,0,,0.251
SF000341210,2/27/1970,0,,0.244
SF000341210,2/28/1970,0,,0.237
SF000341210,3/1/1970,0.17,,0.23
SF000341210,3/2/1970,0,,0.225
SF000341210,3/3/1970,0,,0.224
SF000341210,3/4/1970,0,,0.224
SF000341210,3/5/1970,0,,0.224
SF000341210,3/6/1970,0,,0.224
SF000341210,3/7/1970,0,,0.224
SF000341210,3/8/1970,0,,0.224
SF000341210,3/9/1970,0,,0.224
SF000341210,3/10/1970,0,,0.224
SF000341210,3/11/1970,0,,0.224
SF000341210,3/12/1970,0,,0.224
SF000341210,3/13/1970,0,,0.224
SF000341210,3/14/1970,0,,0.224
SF000341210,3/15/1970,0,,0.224
SF000341210,3/16/1970,0,,0.223
SF000341210,3/17/1970,0,,0.22
SF000341210,3/18/1970,0,,0.216
SF000341210,3/19/1970,0,,0.212
SF000341210,3/20/1970,0,,0.208
SF000341210,3/21/1970,0,,0.211
SF000341210,3/22/1970,0,,0.223
SF000341210,3/23/1970,0,,0.221
SF000341210,3/24/1970,0,,0.224
