STATION,DATE,PRCP,, Value
SF000066120,1/1/1970,0,,0.003
SF000066120,1/2/1970,0,,0.003
SF000066120,1/3/1970,0,,0.003
SF000066120,1/4/1970,0,,0.003
SF000066120,1/5/1970,0,,0.003
SF000066120,1/6/1970,0,,0.012
SF000066120,1/7/1970,0,,0.104
SF000066120,1/8/1970,0,,0.196
SF000066120,1/9/1970,0,,0.144
SF000066120,1/10/1970,0,,0.12
SF000066120,1/11/1970,0,,0.208
SF000066120,1/12/1970,0,,1.112
SF000066120,1/13/1970,0,,0.845
SF000066120,1/14/1970,0,,0.647
SF000066120,1/15/1970,0,,0.503
SF000066120,1/16/1970,0,,0.42
SF000066120,1/17/1970,0,,0.372
SF000066120,1/18/1970,0,,0.337
SF000066120,1/19/1970,0,,0.298
SF000066120,1/20/1970,0,,0.25
SF000066120,1/21/1970,0,,0.196
SF000066120,1/22/1970,0,,0.16
SF000066120,1/23/1970,0,,0.147
SF000066120,1/24/1970,0,,0.139
SF000066120,1/25/1970,0,,0.118
SF000066120,1/26/1970,0,,0.104
SF000066120,1/27/1970,0,,0.094
SF000066120,1/28/1970,0,,0.1
SF000066120,1/29/1970,0,,0.094
SF000066120,1/30/1970,0,,0.087
SF000066120,1/31/1970,0,,0.082
SF000066120,2/1/1970,0.02,,0.079
SF000066120,2/2/1970,0,,0.074
SF000066120,2/3/1970,0,,0.062
SF000066120,2/4/1970,1.16,,0.057
SF000066120,2/5/1970,0.2,,0.061
SF000066120,2/6/1970,0,,0.06
SF000066120,2/7/1970,0,,0.058
SF000066120,2/8/1970,0,,0.058
SF000066120,2/9/1970,0,,0.061
SF000066120,2/10/1970,0,,0.063
SF000066120,2/11/1970,0,,0.061
SF000066120,2/12/1970,0,,0.06
SF000066120,2/13/1970,0,,0.061
SF000066120,2/14/1970,0,,0.061
SF000066120,2/15/1970,0,,0.062
SF000066120,2/16/1970,0,,0.063
SF000066120,2/17/1970,0,,0.062
SF000066120,2/18/1970,0,,0.054
SF000066120,2/19/1970,0,,0.329
SF000066120,2/20/1970,0,,0.355
SF000066120,2/21/1970,0,,0.253
SF000066120,2/22/1970,0,,0.26
SF000066120,2/23/1970,1.88,,0.264
SF000066120,2/24/1970,0,,0.269
SF000066120,2/25/1970,0,,0.279
SF000066120,2/26/1970,0,,0.225
SF000066120,2/27/1970,0,,0.18
SF000066120,2/28/1970,0,,0.172
SF000066120,3/1/1970,0,,0.171
SF000066120,3/2/1970,0,,0.166
SF000066120,3/3/1970,0,,0.152
SF000066120,3/4/1970,0,,0.138
SF000066120,3/5/1970,0,,0.136
SF000066120,3/6/1970,0,,0.137
SF000066120,3/7/1970,0,,0.136
SF000066120,3/8/1970,0,,0.133
SF000066120,3/9/1970,0,,0.123
SF000066120,3/10/1970,0,,0.106
SF000066120,3/11/1970,0,,0.1
SF000066120,3/12/1970,0,,0.094
SF000066120,3/13/1970,0,,0.093
SF000066120,3/14/1970,0,,0.103
SF000066120,3/15/1970,0,,0.177
SF000066120,3/16/1970,0,,0.245
SF000066120,3/17/1970,0,,0.517
SF000066120,3/18/1970,0,,1.33
SF000066120,3/19/1970,0,,0.928
SF000066120,3/20/1970,0,,0.686
SF000066120,3/21/1970,0,,0.567
SF000066120,3/22/1970,0,,0.475
SF000066120,3/23/1970,0,,0.423
SF000066120,3/24/1970,0,,0.385
SF000066120,3/25/1970,0,,0.356
SF000066120,3/26/1970,0,,0.317
SF000066120,3/27/1970,0,,0.339
SF000066120,3/28/1970,0,,0.364
SF000066120,3/29/1970,0,,0.581
SF000066120,3/30/1970,0,,0.843
SF000066120,3/31/1970,0,,0.734
SF000066120,4/1/1970,0,,0.622
SF000066120,4/2/1970,0,,0.552
SF000066120,4/3/1970,0,,0.49
SF000066120,4/4/1970,0,,0.444
SF000066120,4/5/1970,0,,0.412
SF000066120,4/6/1970,0,,0.429
SF000066120,4/7/1970,0,,0.419
SF000066120,4/8/1970,0,,1.031
SF000066120,4/9/1970,0,,0.994
SF000066120,4/10/1970,0,,0.799
SF000066120,4/11/1970,0,,0.704
SF000066120,4/12/1970,0,,0.622
SF000066120,4/13/1970,0,,0.547
SF000066120,4/14/1970,0,,0.533
SF000066120,4/15/1970,0,,0.776
SF000066120,4/16/1970,0,,4.695
SF000066120,4/17/1970,0,,2.677
SF000066120,4/18/1970,0,,1.819
SF000066120,4/19/1970,0,,1.389
SF000066120,4/20/1970,0,,1.293
SF000066120,4/21/1970,0,,1.269
SF000066120,4/22/1970,0,,1.04
SF000066120,4/23/1970,0,,0.945
SF000066120,4/24/1970,0,,1.455
SF000066120,4/25/1970,0,,1.82
SF000066120,4/26/1970,0,,4.838
SF000066120,4/27/1970,0,,17.878
SF000066120,4/28/1970,0,,13.472
SF000066120,4/29/1970,0,,12.932
SF000066120,4/30/1970,0,,15.832
SF000066120,5/1/1970,0,,9.03
SF000066120,5/2/1970,0,,5.201
SF000066120,5/3/1970,0,,4.314
SF000066120,5/4/1970,0,,3.485
SF000066120,5/5/1970,0,,
SF000066120,5/6/1970,0.17,,
SF000066120,5/7/1970,0.06,,
SF000066120,5/8/1970,0.16,,
SF000066120,5/9/1970,0,,
SF000066120,5/10/1970,0,,
SF000066120,5/11/1970,0,,
SF000066120,5/12/1970,0,,
SF000066120,5/13/1970,0,,1.378
SF000066120,5/14/1970,0,,2.001
SF000066120,5/15/1970,0,,9.038
SF000066120,5/16/1970,0,,12.441
SF000066120,5/17/1970,0,,7.285
SF000066120,5/18/1970,0.01,,5.198
SF000066120,5/19/1970,0,,4.511
SF000066120,5/20/1970,0,,10.607
SF000066120,5/21/1970,0,,17.881
SF000066120,5/22/1970,0,,15.666
SF000066120,5/23/1970,0,,10.543
SF000066120,5/24/1970,0,,6.909
SF000066120,5/25/1970,0,,5.176
SF000066120,5/26/1970,0,,4.185
SF000066120,5/27/1970,0,,3.51
SF000066120,5/28/1970,0,,3.033
SF000066120,5/29/1970,0.3,,3.01
SF000066120,5/30/1970,0,,8.76
SF000066120,5/31/1970,0,,15.817
SF000066120,6/1/1970,0,,9.157
SF000066120,6/2/1970,0,,6.166
SF000066120,6/3/1970,0,,4.746
SF000066120,6/4/1970,0,,3.995
SF000066120,6/5/1970,0,,3.344
SF000066120,6/6/1970,0.35,,2.803
SF000066120,6/7/1970,0.31,,2.512
SF000066120,6/8/1970,0,,2.269
SF000066120,6/9/1970,0,,2.079
SF000066120,6/10/1970,0.31,,2.13
SF000066120,6/11/1970,0.02,,1.929
SF000066120,6/12/1970,0.16,,1.711
SF000066120,6/13/1970,0,,1.572
SF000066120,6/14/1970,0,,1.472
SF000066120,6/15/1970,0,,1.415
SF000066120,6/16/1970,0.04,,1.358
SF000066120,6/17/1970,0,,1.292
SF000066120,6/18/1970,0,,1.24
SF000066120,6/19/1970,0,,1.198
SF000066120,6/20/1970,0,,1.181
SF000066120,6/21/1970,0,,1.162
SF000066120,6/22/1970,0,,1.141
SF000066120,6/23/1970,0,,1.119
SF000066120,6/24/1970,0.2,,1.098
SF000066120,6/25/1970,0.25,,1.076
SF000066120,6/26/1970,0,,1.054
SF000066120,6/27/1970,0,,1.033
SF000066120,6/28/1970,0.04,,1.008
SF000066120,6/29/1970,0.06,,0.968
SF000066120,6/30/1970,0,,0.927
SF000066120,7/1/1970,0.04,,0.887
SF000066120,7/2/1970,0,,0.848
SF000066120,7/3/1970,0.04,,0.803
SF000066120,7/4/1970,0,,0.751
SF000066120,7/5/1970,0.14,,0.697
SF000066120,7/6/1970,0,,0.644
SF000066120,7/7/1970,0,,0.595
SF000066120,7/8/1970,0,,0.555
SF000066120,7/9/1970,0,,0.517
SF000066120,7/10/1970,0,,0.493
SF000066120,7/11/1970,0,,0.476
SF000066120,7/12/1970,0.12,,0.46
SF000066120,7/13/1970,0,,0.453
SF000066120,7/14/1970,0,,0.449
SF000066120,7/15/1970,0,,0.414
SF000066120,7/16/1970,0,,0.398
SF000066120,7/17/1970,0.14,,0.382
SF000066120,7/18/1970,0,,0.365
SF000066120,7/19/1970,0,,0.349
SF000066120,7/20/1970,0.41,,0.333
SF000066120,7/21/1970,0.73,,0.255
SF000066120,7/22/1970,0,,0.238
SF000066120,7/23/1970,0,,0.274
SF000066120,7/24/1970,0,,0.308
SF000066120,7/25/1970,0,,0.319
SF000066120,7/26/1970,0,,1.305
SF000066120,7/27/1970,0.09,,1.211
SF000066120,7/28/1970,0.33,,0.926
SF000066120,7/29/1970,0.22,,0.92
SF000066120,7/30/1970,0,,2.826
SF000066120,7/31/1970,0,,1.828
SF000066120,8/1/1970,0,,1.233
SF000066120,8/2/1970,0.01,,0.94
SF000066120,8/3/1970,0,,0.746
SF000066120,8/4/1970,0,,0.664
SF000066120,8/5/1970,0.1,,0.603
SF000066120,8/6/1970,0,,0.521
SF000066120,8/7/1970,0,,0.493
SF000066120,8/8/1970,0.18,,0.496
SF000066120,8/9/1970,0,,0.601
SF000066120,8/10/1970,0,,0.661
SF000066120,8/11/1970,0,,1.111
SF000066120,8/12/1970,0,,1.557
SF000066120,8/13/1970,0,,1.128
SF000066120,8/14/1970,0.16,,0.891
SF000066120,8/15/1970,0,,1.344
SF000066120,8/16/1970,0,,1.063
SF000066120,8/17/1970,0,,0.791
SF000066120,8/18/1970,0,,0.605
SF000066120,8/19/1970,0.26,,0.482
SF000066120,8/20/1970,0,,0.364
SF000066120,8/21/1970,0.51,,0.304
SF000066120,8/22/1970,0.1,,0.215
SF000066120,8/23/1970,0.04,,0.185
SF000066120,8/24/1970,0.2,,0.156
SF000066120,8/25/1970,0,,0.146
SF000066120,8/26/1970,0,,0.161
SF000066120,8/27/1970,0,,0.134
SF000066120,8/28/1970,0,,0.105
SF000066120,8/29/1970,0,,0.09
SF000066120,8/30/1970,0.04,,0.073
SF000066120,8/31/1970,0.26,,0.059
SF000066120,9/1/1970,0.13,,0.072
SF000066120,9/2/1970,0.03,,0.082
SF000066120,9/3/1970,0,,0.065
SF000066120,9/4/1970,0,,0.05
SF000066120,9/5/1970,0,,0.046
SF000066120,9/6/1970,0,,0.042
SF000066120,9/7/1970,0,,0.067
SF000066120,9/8/1970,0.43,,0.062
SF000066120,9/9/1970,0.18,,0.049
SF000066120,9/10/1970,0,,0.038
SF000066120,9/11/1970,0,,0.033
SF000066120,9/12/1970,0,,0.037
SF000066120,9/13/1970,0,,0.045
SF000066120,9/14/1970,0,,0.046
SF000066120,9/15/1970,0,,0.145
SF000066120,9/16/1970,0,,0.114
SF000066120,9/17/1970,0,,0.065
SF000066120,9/18/1970,0,,0.049
SF000066120,9/19/1970,0,,0.061
SF000066120,9/20/1970,0,,0.128
SF000066120,9/21/1970,0,,0.106
SF000066120,9/22/1970,0,,0.083
SF000066120,9/23/1970,0,,0.073
SF000066120,9/24/1970,0,,0.055
SF000066120,9/25/1970,0.01,,0.041
SF000066120,9/26/1970,0,,0.037
SF000066120,9/27/1970,0,,0.032
SF000066120,9/28/1970,0.01,,0.026
SF000066120,9/29/1970,0,,0.023
SF000066120,9/30/1970,0,,0.02
SF000066120,10/1/1970,0,,0.014
SF000066120,10/2/1970,0,,0.012
SF000066120,10/3/1970,0,,0.01
SF000066120,10/4/1970,0,,0.009
SF000066120,10/5/1970,0.41,,0.007
SF000066120,10/6/1970,0.59,,0.006
SF000066120,10/7/1970,0,,0.005
SF000066120,10/8/1970,0,,0.003
SF000066120,10/9/1970,0,,0.003
SF000066120,10/10/1970,0,,0.003
SF000066120,10/11/1970,0,,0.003
SF000066120,10/12/1970,0,,0.003
SF000066120,10/13/1970,0,,0.003
SF000066120,10/14/1970,0.13,,0.003
SF000066120,10/15/1970,0.01,,0.003
SF000066120,10/16/1970,0,,0.003
SF000066120,10/17/1970,0,,0.003
SF000066120,10/18/1970,0,,0.003
SF000066120,10/19/1970,0,,0.003
SF000066120,10/20/1970,0,,0.003
SF000066120,10/21/1970,0,,0.003
SF000066120,10/22/1970,0,,0.003
SF000066120,10/23/1970,0.01,,0.003
SF000066120,10/24/1970,0,,0.003
SF000066120,10/25/1970,0,,0.003
SF000066120,10/26/1970,0,,0.003
SF000066120,10/27/1970,0,,0.003
SF000066120,10/28/1970,0,,0.003
SF000066120,10/29/1970,0.01,,0.003
SF000066120,10/30/1970,0,,0.003
SF000066120,10/31/1970,0,,0.003
SF000066120,11/1/1970,0,,0.003
SF000066120,11/2/1970,0,,0.003
SF000066120,11/3/1970,0,,0.003
SF000066120,11/4/1970,0,,0.003
SF000066120,11/5/1970,0,,0.003
SF000066120,11/6/1970,0,,0.003
SF000066120,11/7/1970,0,,0.003
SF000066120,11/8/1970,0,,0.003
SF000066120,11/9/1970,0,,0.003
SF000066120,11/10/1970,0,,0.003
SF000066120,11/11/1970,0,,0.003
SF000066120,11/12/1970,0,,0.003
SF000066120,11/13/1970,0,,0.003
SF000066120,11/14/1970,0,,0.003
SF000066120,11/15/1970,0.02,,0.003
SF000066120,11/16/1970,0,,0.003
SF000066120,11/17/1970,0,,0.003
SF000066120,11/18/1970,0,,0.003
SF000066120,11/19/1970,0,,0.003
SF000066120,11/20/1970,0,,0.003
SF000066120,11/21/1970,0,,0.003
SF000066120,11/22/1970,0,,0.003
SF000066120,11/23/1970,0,,0.003
SF000066120,11/24/1970,0,,0.003
SF000066120,11/25/1970,0,,0.003
SF000066120,11/26/1970,0.01,,0.003
SF000066120,11/27/1970,0,,0.003
SF000066120,11/28/1970,0,,0.003
SF000066120,11/29/1970,0,,0.003
SF000066120,11/30/1970,0,,0.003
SF000066120,12/1/1970,0,,0.003
SF000066120,12/2/1970,0,,0.003
SF000066120,12/3/1970,0,,0.003
SF000066120,12/4/1970,0.01,,0.003
SF000066120,12/5/1970,0.11,,0.003
SF000066120,12/6/1970,0.06,,0.003
SF000066120,12/7/1970,0.01,,0.003
SF000066120,12/8/1970,0,,0.003
SF000066120,12/9/1970,0,,0.003
SF000066120,12/10/1970,0,,0.003
SF000066120,12/11/1970,0,,0.003
SF000066120,12/12/1970,0,,0.003
SF000066120,12/13/1970,0,,0.003
SF000066120,12/14/1970,0,,0.003
SF000066120,12/15/1970,0,,0.003
SF000066120,12/16/1970,0,,0.003
SF000066120,12/17/1970,0,,0.003
SF000066120,12/18/1970,0,,0.003
SF000066120,12/19/1970,0,,0.003
SF000066120,12/20/1970,0,,0.003
SF000066120,12/21/1970,0,,0.003
SF000066120,12/22/1970,0,,0.003
SF000066120,12/23/1970,0,,0.003
SF000066120,12/24/1970,0,,0.003
SF000066120,12/25/1970,0,,0.003
SF000066120,12/26/1970,0,,0.003
SF000066120,12/27/1970,0,,0.003
SF000066120,12/28/1970,0,,0.003
SF000066120,12/29/1970,0,,0.003
SF000066120,12/30/1970,0,,0.003
SF000066120,12/31/1970,0,,0.003
SF000066120,1/1/1971,0,,0.003
SF000066120,1/2/1971,0,,0.783
SF000066120,1/3/1971,0,,1.295
SF000066120,1/4/1971,0,,0.968
SF000066120,1/5/1971,0,,0.718
SF000066120,1/6/1971,0,,0.578
SF000066120,1/7/1971,0,,0.549
SF000066120,1/8/1971,0,,0.538
SF000066120,1/9/1971,0,,0.483
SF000066120,1/10/1971,0,,0.441
SF000066120,1/11/1971,0,,0.399
SF000066120,1/12/1971,0,,0.343
SF000066120,1/13/1971,0,,0.29
SF000066120,1/14/1971,0,,0.313
SF000066120,1/15/1971,0,,0.271
SF000066120,1/16/1971,0,,0.207
SF000066120,1/17/1971,0,,0.187
SF000066120,1/18/1971,0,,0.179
SF000066120,1/19/1971,0,,0.155
SF000066120,1/20/1971,0,,0.138
SF000066120,1/21/1971,0,,0.205
SF000066120,1/22/1971,0,,0.325
SF000066120,1/23/1971,0,,0.306
SF000066120,1/24/1971,0,,0.274
SF000066120,1/25/1971,0,,0.498
SF000066120,1/26/1971,0,,0.603
SF000066120,1/27/1971,0,,0.474
SF000066120,1/28/1971,0,,0.369
SF000066120,1/29/1971,0,,0.283
SF000066120,1/30/1971,0,,0.251
SF000066120,1/31/1971,0,,0.231
SF000066120,2/1/1971,0,,0.198
SF000066120,2/2/1971,0,,0.186
SF000066120,2/3/1971,0,,0.184
SF000066120,2/4/1971,0,,0.182
SF000066120,2/5/1971,0,,0.168
SF000066120,2/6/1971,0,,0.152
SF000066120,2/7/1971,0,,0.141
SF000066120,2/8/1971,0,,0.142
SF000066120,2/9/1971,0,,0.152
SF000066120,2/10/1971,0,,0.14
SF000066120,2/11/1971,0,,0.165
SF000066120,2/12/1971,0,,0.38
SF000066120,2/13/1971,0,,0.401
SF000066120,2/14/1971,0,,0.387
SF000066120,2/15/1971,0,,0.359
SF000066120,2/16/1971,0.01,,0.362
SF000066120,2/17/1971,0.01,,0.42
SF000066120,2/18/1971,0,,0.414
SF000066120,2/19/1971,0,,0.375
SF000066120,2/20/1971,0,,0.334
SF000066120,2/21/1971,0,,0.342
SF000066120,2/22/1971,0,,0.352
SF000066120,2/23/1971,0,,0.397
SF000066120,2/24/1971,0,,0.506
SF000066120,2/25/1971,0,,0.488
